ABCC6	NM_001171
ABL1	NM_005157
AKT1	NM_005163
ANKRD26	NM_014915
ARID1A	NM_006015
ASXL1	NM_015338
ASXL2	NM_018263
BCL11B	NM_138576
BCOR	NM_001123385
BCORL1	NM_021946
BIRC3	NM_001165
BPGM	NM_001724
BRAF	NM_004333
BRCA1	NM_007294
BRCA2	NM_000059
BRINP3	NM_199051
BRIP1	NM_032043
BTG1	NM_001731
BTK	NM_000061
CALR	NM_004343
CBL	NM_005188
CBLB	NM_170662
CCNC	NM_005190
CCND3	NM_001760
CDC27	NM_001114091
CDKN1B	NM_004064
CDKN2A	NM_058195
CDKN2B	NM_004936
CEBPA	NM_004364
CISH	NM_145071
CNOT3	NM_014516
CPEB3	NM_014912
CREBBP	NM_004380
CRLF2	NM_022148
CSF1R	NM_005211
CSF3R	NM_156039
CSMD1	NM_033225
CSNK1A1	NM_001025105
CTC1	NM_025099
CTCF	NM_006565
CTNNB1	NM_001904
CUX1	NM_001202543
CXCR4	NM_001008540
DDX3X	NM_001193416
DDX41	NM_016222
DHX15	NM_001358
DKC1	NM_001363
DNAJC21	NM_001012339
DNM2	NM_001005361
DNMT1	NM_001130823
DNMT3A	NM_175629
EED	NM_003797
EGLN1	NM_022051
EHBP1	NM_015252
ELANE	NM_001972
EP300	NM_001429
EPAS1	NM_001430
EPOR	NM_000121
ERCC4	NM_005236
ETNK1	NM_018638
ETV6	NM_001987
EZH2	NM_004456
FANCA	NM_000135
FANCB	NM_001018113
FANCC	NM_000136
FANCD2	NM_001018115
FANCE	NM_021922
FANCF	NM_022725
FANCG	NM_004629
FANCI	NM_018193
FANCL	NM_018062
FBXW7	NM_033632
FCGBP	NM_003890
FLT3	NM_004119
FRAS1	NM_025074
G6PC3	NM_138387
GATA1	NM_002049
GATA2	NM_032638
GATA3	NM_001002295
GFI1	NM_001127215
GNAS	NM_080425
GNB1	NM_002074
HAX1	NM_006118
HBA1	NM_000558
HBA2	NM_000517
HBB	NM_000518
HERC1	NM_003922
HNRNPK	NM_002140
HRAS	NM_001130442
IDH1	NM_005896
IDH2	NM_002168
IKZF1	NM_006060
IL2RG	NM_000206
IL7R	NM_002185
IRF1	NM_002198
JAK1	NM_002227
JAK2	NM_004972
JAK3	NM_000215
KDM6A	NM_021140
KDM6B	NM_001080424
KIT	NM_000222
KMT2A	NM_001197104
KMT2C	NM_170606
KMT2D	NM_003482
KRAS	NM_033360
LEF1	NM_016269
LIG4	NM_002312
LUC7L2	NM_001244585
MAP2K1	NM_002755
MECOM	NM_004991
MED12	NM_005120
MLH1	NM_000249
MN1	NM_002430
MPL	NM_005373
MTRR	NM_024010
MYB	NM_001130173
MYCBP2	NM_015057
MYCN	NM_005378
MYD88	NM_001172567
NAF1	NM_138386
NEK1	NM_001199397
NF1	NM_001042492
NFE2	NM_001136023
NHP2	NM_017838
NOP10	NM_018648
NOS3	NM_000603
NOTCH1	NM_017617
NOTCH3	NM_000435
NPM1	NM_002520
NRAS	NM_002524
NSD1	NM_022455
NT5C2	NM_012229
PALB2	NM_024675
PARN	NM_002582
PAX5	NM_016734
PDGFRA	NM_006206
PHF6	NM_001015877
PIAS3	NM_006099
PIGA	NM_002641
PIK3CA	NM_006218
PIK3CD	NM_005026
PIK3R1	NM_181523
PLCG2	NM_002661
POT1	NM_015450
PPM1D	NM_003620
PRPF40B	NM_001031698
PRPF8	NM_006445
PTEN	NM_000314
PTPN11	NM_002834
PTPRT	NM_133170
RAD21	NM_006265
RAD51	NM_002875
RAD51C	NM_058216
RB1	NM_000321
RBM8A	NM_005105
RIN1	NM_004292
RIT1	NM_001256821
RPL10	NM_006013
RPL11	NM_000975
RPL22	NM_000983
RPL26	NM_000987
RPL35	NM_007209
RPL5	NM_000969
RPS10	NM_001014
RPS19	NM_001022
RPS24	NM_001142285
RPS26	NM_001029
RPS7	NM_001011
RTEL1	NM_032957
RUNX1	NM_001754
SAMD9	NM_001193307
SAMD9L	NM_152703
SBDS	NM_016038
SCN5A	NM_001160161
SETBP1	NM_015559
SETD1B	NM_001353345
SETD2	NM_014159
SF1	NM_004630
SF3A1	NM_005877
SF3B1	NM_012433
TINF2	NM_001099274
TP53	NM_000546
TTN	NM_001256850
U2AF1	NM_006758
U2AF2	NM_007279
UBE2T	NM_014176
UNC80	NM_032504
USB1	NM_024598
USH2A	NM_206933
USP7	NM_003470
USP9X	NM_001039590
VHL	NM_000551
VPS45	NM_007259
WAS	NM_000377
WRAP53	NM_001143990
WT1	NM_024426
XPO1	NM_003400
XRCC2	NM_005431
ZBTB7A	NM_015898
ZFHX4	NM_024721
ZNF91	NM_003430
ZRSR2	NM_005089
CECR1	NM_001282225
SH2B3	NM_005475
SLX4	NM_032444
SMARCA4	NM_001128849
SMC1A	NM_006306
SMC3	NM_005445
SRP54	NM_003136
SRP72	NM_006947
SRSF2	NM_003016
STAG2	NM_001042749
STAT3	NM_139276
STAT5B	NM_012448
SUZ12	NM_015355
SYNE1	NM_182961
TERC	NR_001566
TERT	NM_198253
TET2	NM_001127208
ATRX	NM_000489
