"gene_name"	"n_syn"	"n_mis"	"n_non"	"n_spl"	"n_ind"	"wmis_cv"	"wnon_cv"	"wspl_cv"	"wind_cv"	"pmis_cv"	"ptrunc_cv"	"pallsubs_cv"	"pind_cv"	"qmis_cv"	"qtrunc_cv"	"qallsubs_cv"	"qind_cv"	"pglobal_cv"	"qglobal_cv"
"CHEK2"	0	0	0	1	2	0	1762.29148046842	1762.29148046842	1932.38464986999	0.896985570166518	0.000319942800177997	0.00152872850198871	0.00020776199150593	0.978013717198274	0.998104353529444	0.99998495022595	0.604258515186531	5.06985619119771e-06	0.101858480737353
"SF3A1"	0	1	0	1	1	81.7050207912679	1120.71257247074	1120.71257247074	714.300874983429	0.00896036800709366	0.00051925231503458	0.00163918177421662	0.000843214340992168	0.978013717198274	0.998104353529444	0.99998495022595	0.847050966243683	2.00303646017419e-05	0.138184509866611
"BCORL1"	0	3	0	0	4	102.922262408806	0	0	1270.22372841398	0.00143819708672166	0.964136458280529	0.0059306273365709	0.000240608636777276	0.978013717198274	0.998104353529444	0.99998495022595	0.604258515186531	2.06337927231015e-05	0.138184509866611
"CUX1"	0	2	0	0	2	76.2354319284517	0	0	747.732227734795	0.00329730003820849	0.956742282010209	0.0128016273157855	0.000567797988638505	0.978013717198274	0.998104353529444	0.99998495022595	0.731109349722855	9.32719245873015e-05	0.468481559220869
"ZBTB7A"	4	2	0	0	4	0.282777672047875	0	0	3877.98218623482	0.162368368377178	0.548247560083757	0.343903726479881	3.27744189810874e-05	0.978013717198274	0.998104353529444	0.99998495022595	0.395886832662172	0.000139687420041779	0.561291991211875
"PTPN11"	0	1	0	0	1	119.316052813534	0	0	954.806220095693	0.00590091616070421	0.969317082208548	0.0225753482951058	0.000693786912036054	0.978013717198274	0.998104353529444	0.99998495022595	0.816150107939628	0.000188955970176985	0.577209511447608
"BCOR"	0	1	0	0	4	36.5231499486036	0	0	1291.92458937777	0.0219385441026302	0.959091431776271	0.072320928451779	0.00023507288162656	0.978013717198274	0.998104353529444	0.99998495022595	0.604258515186531	0.000203706620008015	0.577209511447608
"KDM6B"	7	5	0	1	5	0.33420804538083	1.42775473486017	1.42775473486017	1684.95215311005	0.0725152263386758	0.752059436276964	0.140339683879692	0.000143568120771216	0.978013717198274	0.998104353529444	0.99998495022595	0.604258515186531	0.000237999640987252	0.577209511447608
"DDX41"	0	1	0	0	1	89.0185264163424	0	0	884.797027670581	0.00815026014999654	0.965921424071514	0.0301674785690783	0.000731208100289349	0.978013717198274	0.998104353529444	0.99998495022595	0.816150107939628	0.000258567796676545	0.577209511447608
"MPL"	0	0	0	0	4	0	0	0	3567.01191658391	0.884826986312126	0.971702107149577	0.988941228606841	3.94093706298514e-05	0.978013717198274	0.998104353529444	0.99998495022595	0.395886832662172	0.000434657493849744	0.87327037089352
