#chrm start stop band
chr1:565346-24178245	chr1_Parm
chr2:101319-11156257	chr2_Parm
chr3:71223-89106889	chr3_Parm
chr4:328432-49618591	chr4_Parm
chr5:163836-46117758	chr5_Parm
chr6:257126-58693124	chr6_Parm
chr7:62278-57417629	chr7_Parm
chr8:245087-42435553	chr8_Parm
chr9:403225-46142631	chr9_Parm
chr10:255633-39005860	chr10_Parm
chr11:293128-134900529	chr11_Parm
chr12:298440-33734843	chr12_Parm
chr16:332957-33934129	chr16_Parm
chr17:65572-22216618	chr17_Parm
chr18:84140-15062273	chr18_Parm
chr19:325206-24178245	chr19_Parm
chr20:129804-26204573	chr20_Parm
chr21:9419181-11156257	chr21_Parm
chrX:2760724-57475313	chrX_Parm
chrY:2655316-21730316	chrY_Parm
