chr1:143243954-58878544	chr1_Qarm
chr2:95537562-51144228	chr2_Qarm
chr3:93707570-197779233	chr3_Qarm
chr4:52978681-190614219	chr4_Qarm
chr5:49559687-180535680	chr5_Qarm
chr6:62069392-170793434	chr6_Qarm
chr7:62030250-158820150	chr7_Qarm
chr8:47526939-145813517	chr8_Qarm
chr9:65616302-141011831	chr9_Qarm
chr10:42606820-135040343	chr10_Qarm
chr11:55170282-134900529	chr11_Qarm
chr12:38597481-133818413	chr12_Qarm
chr16:46834028-89835381	chr16_Qarm
chr17:25269079-81005719	chr17_Qarm
chr18:18909870-77313646	chr18_Qarm
chr19:28247490-58878544	chr19_Qarm
chr20:29439551-62696084	chr20_Qarm
chr21:14432976-47920257	chr21_Qarm
chrX:69302706-152901960	chrX_Qarm
