seqnames	start	end	width	strand	Median
1	1000001	2000000	1000000	*	NA
1	2000001	3000000	1000000	*	NA
1	4000001	5000000	1000000	*	-0.864813714760149
1	5000001	6000000	1000000	*	-0.906168328490866
1	6000001	7000000	1000000	*	-0.172528223479585
1	7000001	8000000	1000000	*	-0.6049058696264
1	8000001	9000000	1000000	*	0.357556304577705
1	9000001	10000000	1000000	*	-0.303409488114961
1	10000001	11000000	1000000	*	0.13228506538734
1	11000001	12000000	1000000	*	-0.588236271661914
1	12000001	13000000	1000000	*	-0.258445340609082
1	14000001	15000000	1000000	*	-0.340426544869845
1	15000001	16000000	1000000	*	-0.175588750139326
1	16000001	17000000	1000000	*	-0.247754368408087
1	18000001	19000000	1000000	*	-0.971380288840773
1	19000001	20000000	1000000	*	-0.474795324936668
1	20000001	21000000	1000000	*	-0.144630381008145
1	21000001	22000000	1000000	*	-0.305495995667851
1	22000001	23000000	1000000	*	-0.611314615735199
1	23000001	24000000	1000000	*	0.0712137272897246
1	24000001	25000000	1000000	*	-0.0176734287744614
1	25000001	26000000	1000000	*	0.061222564141428
1	26000001	27000000	1000000	*	-0.233560746815007
1	27000001	28000000	1000000	*	5.44728783540603
1	28000001	29000000	1000000	*	0.401606382705755
1	30000001	31000000	1000000	*	NA
1	31000001	32000000	1000000	*	-0.110417054946796
1	32000001	33000000	1000000	*	0.00874098976434786
1	33000001	34000000	1000000	*	-0.0784662988290698
1	34000001	35000000	1000000	*	-0.829716384166533
1	35000001	36000000	1000000	*	-0.0102055622394602
1	36000001	37000000	1000000	*	3.5648147271194
1	37000001	38000000	1000000	*	-0.831361836099516
1	38000001	39000000	1000000	*	-0.237719407695337
1	39000001	40000000	1000000	*	0.222552814058356
1	40000001	41000000	1000000	*	0.0793630171665183
1	41000001	42000000	1000000	*	-0.495222765055451
1	42000001	43000000	1000000	*	-0.52465688349926
1	43000001	44000000	1000000	*	2.63572122193877
1	44000001	45000000	1000000	*	-0.128529244151028
1	45000001	46000000	1000000	*	0.0552714070672872
1	46000001	47000000	1000000	*	0.098178096297213
1	47000001	48000000	1000000	*	-0.0866549526906175
1	48000001	49000000	1000000	*	-0.800189832115963
1	49000001	50000000	1000000	*	-0.587813502672296
1	50000001	51000000	1000000	*	-0.234978265805263
1	51000001	52000000	1000000	*	0.289930986424389
1	52000001	53000000	1000000	*	0.228801472192957
1	53000001	54000000	1000000	*	-0.262601551328882
1	54000001	55000000	1000000	*	-0.219271201876863
1	55000001	56000000	1000000	*	-0.423809087139082
1	56000001	57000000	1000000	*	-0.435146138711802
1	57000001	58000000	1000000	*	-0.201170316770172
1	58000001	59000000	1000000	*	-0.679573070933234
1	59000001	60000000	1000000	*	-0.602743508533132
1	60000001	61000000	1000000	*	-0.179452551472139
1	61000001	62000000	1000000	*	-0.130749346722819
1	62000001	63000000	1000000	*	0.211665444070573
1	63000001	64000000	1000000	*	0.122593145869619
1	64000001	65000000	1000000	*	-0.356742781553479
1	65000001	66000000	1000000	*	-0.0616176164585495
1	66000001	67000000	1000000	*	-0.0394086112742755
1	67000001	68000000	1000000	*	0.167444847454461
1	68000001	69000000	1000000	*	-0.19779557962306
1	69000001	70000000	1000000	*	0.129486252596415
1	70000001	71000000	1000000	*	0.617875297859632
1	71000001	72000000	1000000	*	0.0259156605297283
1	72000001	73000000	1000000	*	0.588305678724313
1	73000001	74000000	1000000	*	0.40253994734976
1	74000001	75000000	1000000	*	0.411294571446979
1	75000001	76000000	1000000	*	0.015741766737394
1	76000001	77000000	1000000	*	-0.0680440677546865
1	77000001	78000000	1000000	*	-0.203782609047666
1	78000001	79000000	1000000	*	0.153825271341843
1	79000001	80000000	1000000	*	0.302854442513608
1	80000001	81000000	1000000	*	0.463153047508893
1	81000001	82000000	1000000	*	0.278860507965115
1	82000001	83000000	1000000	*	0.378109178951252
1	84000001	85000000	1000000	*	-0.0320742760882533
1	85000001	86000000	1000000	*	0.0501445342530785
1	86000001	87000000	1000000	*	0.152676402106161
1	87000001	88000000	1000000	*	-0.158043534322164
1	88000001	89000000	1000000	*	0.0322231986585297
1	89000001	90000000	1000000	*	0.0364295648552049
1	90000001	91000000	1000000	*	-0.227871925002467
1	91000001	92000000	1000000	*	0.227869661496396
1	92000001	93000000	1000000	*	4.11718074676257
1	93000001	94000000	1000000	*	0.335038877226565
1	94000001	95000000	1000000	*	-0.521966086533168
1	95000001	96000000	1000000	*	-0.221958351426096
1	96000001	97000000	1000000	*	0.0514828546599563
1	97000001	98000000	1000000	*	0.239757953772431
1	98000001	99000000	1000000	*	0.511352175843956
1	99000001	100000000	1000000	*	0.168214552393873
1	100000001	101000000	1000000	*	0.276121185638153
1	101000001	102000000	1000000	*	-0.0172663454492097
1	102000001	103000000	1000000	*	0.372949795418925
1	105000001	106000000	1000000	*	0.574874331286022
1	106000001	107000000	1000000	*	0.550966864911867
1	107000001	108000000	1000000	*	0.307671675968128
1	109000001	110000000	1000000	*	-0.174010030714718
1	110000001	111000000	1000000	*	-0.690648128938149
1	111000001	112000000	1000000	*	-0.609623380897652
1	112000001	113000000	1000000	*	-0.621275935217776
1	113000001	114000000	1000000	*	0.114605137080088
1	114000001	115000000	1000000	*	-0.287499528264738
1	115000001	116000000	1000000	*	3.3112041599132
1	116000001	117000000	1000000	*	-0.59307238496192
1	117000001	118000000	1000000	*	-0.575748122768242
1	118000001	119000000	1000000	*	-0.263439048246752
1	119000001	120000000	1000000	*	-0.330975565271243
1	150000001	151000000	1000000	*	0.482363055531486
1	151000001	152000000	1000000	*	0.22177423837713
1	152000001	153000000	1000000	*	-0.75635287469795
1	153000001	154000000	1000000	*	-0.225331516190904
1	154000001	155000000	1000000	*	-0.0572241401978342
1	155000001	156000000	1000000	*	3.2719060808258
1	156000001	157000000	1000000	*	-0.477780794667699
1	157000001	158000000	1000000	*	-0.724042826609027
1	158000001	159000000	1000000	*	-0.186311144294066
1	159000001	160000000	1000000	*	-0.520126536058595
1	160000001	161000000	1000000	*	-0.337988122188207
1	162000001	163000000	1000000	*	-0.403081414704198
1	163000001	164000000	1000000	*	-0.0675206662053287
1	164000001	165000000	1000000	*	-0.251972936553814
1	165000001	166000000	1000000	*	-0.485201772931529
1	166000001	167000000	1000000	*	-0.391075842861602
1	167000001	168000000	1000000	*	0.0736459817137686
1	168000001	169000000	1000000	*	-0.350266501456821
1	169000001	170000000	1000000	*	0.0603090596134222
1	170000001	171000000	1000000	*	0.058851909393744
1	171000001	172000000	1000000	*	0.0158571872362063
1	172000001	173000000	1000000	*	-0.120484463307414
1	173000001	174000000	1000000	*	0.114692798280255
1	174000001	175000000	1000000	*	0.382731945885884
1	175000001	176000000	1000000	*	-0.680742988259429
1	176000001	177000000	1000000	*	-0.355747212071488
1	177000001	178000000	1000000	*	-0.696474312728036
1	178000001	179000000	1000000	*	0.00601685435775707
1	179000001	180000000	1000000	*	0.150291571558315
1	180000001	181000000	1000000	*	-0.311178363884449
1	181000001	182000000	1000000	*	-0.588281589569917
1	182000001	183000000	1000000	*	-0.107064018581139
1	183000001	184000000	1000000	*	-0.218184625691005
1	184000001	185000000	1000000	*	-0.228185996841697
1	185000001	186000000	1000000	*	0.207168143278709
1	186000001	187000000	1000000	*	0.345133243753588
1	187000001	188000000	1000000	*	0.34000722935813
1	188000001	189000000	1000000	*	0.591642740533494
1	189000001	190000000	1000000	*	NA
1	190000001	191000000	1000000	*	NA
1	191000001	192000000	1000000	*	0.718866553727515
1	192000001	193000000	1000000	*	0.40378234338481
1	193000001	194000000	1000000	*	0.34407565665909
1	194000001	195000000	1000000	*	0.695992622157474
1	195000001	196000000	1000000	*	0.677672092447048
1	196000001	197000000	1000000	*	0.428696115871239
1	197000001	198000000	1000000	*	0.415049374024321
1	198000001	199000000	1000000	*	0.363574695573102
1	199000001	200000000	1000000	*	0.371425782361238
1	200000001	201000000	1000000	*	0.120250293559392
1	201000001	202000000	1000000	*	-0.707601042837325
1	202000001	203000000	1000000	*	3.82021042815409
1	203000001	204000000	1000000	*	-0.157859519990963
1	204000001	205000000	1000000	*	-0.25943259409719
1	205000001	206000000	1000000	*	NA
1	207000001	208000000	1000000	*	-0.44873820671694
1	208000001	209000000	1000000	*	-0.49762212219146
1	209000001	210000000	1000000	*	-0.396248478863495
1	210000001	211000000	1000000	*	-0.407579893726374
1	211000001	212000000	1000000	*	-0.168153940328878
1	212000001	213000000	1000000	*	-0.0913990069105442
1	213000001	214000000	1000000	*	-0.200151128322221
1	214000001	215000000	1000000	*	-0.0998586594015594
1	215000001	216000000	1000000	*	0.117814905292499
1	216000001	217000000	1000000	*	0.293125955861354
1	217000001	218000000	1000000	*	0.358649075740028
1	218000001	219000000	1000000	*	-0.0140220506527984
1	219000001	220000000	1000000	*	-0.145461166836626
1	220000001	221000000	1000000	*	-0.0091451991363544
1	221000001	222000000	1000000	*	-0.0699356792088618
1	222000001	223000000	1000000	*	-0.299995165986803
1	225000001	226000000	1000000	*	0.0433355179150914
1	226000001	227000000	1000000	*	-0.085871747819776
1	227000001	228000000	1000000	*	-0.405769801261336
1	228000001	229000000	1000000	*	-1.36421119783808
1	229000001	230000000	1000000	*	-0.26564953318541
1	230000001	231000000	1000000	*	-0.429437172014217
1	231000001	232000000	1000000	*	4.16721926385367
1	232000001	233000000	1000000	*	-0.469668817758671
1	233000001	234000000	1000000	*	-0.123402250167885
1	234000001	235000000	1000000	*	-0.556005320597805
1	235000001	236000000	1000000	*	NA
1	236000001	237000000	1000000	*	0.180385928975667
1	237000001	238000000	1000000	*	0.00884748345942956
1	238000001	239000000	1000000	*	0.29828930529137
1	239000001	240000000	1000000	*	0.265025916660213
1	240000001	241000000	1000000	*	0.310410667081263
1	241000001	242000000	1000000	*	0.099288083401125
1	242000001	243000000	1000000	*	-0.0307519717975811
1	244000001	245000000	1000000	*	-0.111872854360341
1	245000001	246000000	1000000	*	0.00533377418405356
1	246000001	247000000	1000000	*	-0.292861385985534
1	247000001	248000000	1000000	*	-0.21789073790282
2	1	1000000	1000000	*	NA
2	1000001	2000000	1000000	*	-1.13411966654021
2	2000001	3000000	1000000	*	-0.827570045420113
2	3000001	4000000	1000000	*	NA
2	4000001	5000000	1000000	*	0.943109213154645
2	6000001	7000000	1000000	*	-0.270450528712202
2	7000001	8000000	1000000	*	-0.5247825042612
2	8000001	9000000	1000000	*	-0.519827800136972
2	9000001	10000000	1000000	*	-0.122453651608031
2	10000001	11000000	1000000	*	-0.359706977620416
2	11000001	12000000	1000000	*	-0.470425833316944
2	12000001	13000000	1000000	*	-0.660427261824365
2	13000001	14000000	1000000	*	0.239431440953519
2	14000001	15000000	1000000	*	0.0485683185199604
2	15000001	16000000	1000000	*	-0.497499507818946
2	16000001	17000000	1000000	*	NA
2	17000001	18000000	1000000	*	-0.0215521766211305
2	18000001	19000000	1000000	*	-0.390300298912852
2	19000001	20000000	1000000	*	-0.81245107575976
2	20000001	21000000	1000000	*	-0.392662824667858
2	21000001	22000000	1000000	*	NA
2	22000001	23000000	1000000	*	0.209590799261073
2	23000001	24000000	1000000	*	-0.733897115336894
2	24000001	25000000	1000000	*	0.323154894993905
2	25000001	26000000	1000000	*	6.30113547626086
2	26000001	27000000	1000000	*	-0.0145411431322457
2	27000001	28000000	1000000	*	-0.0486512772519604
2	28000001	29000000	1000000	*	-0.171439491025968
2	29000001	30000000	1000000	*	-0.221623784415901
2	30000001	31000000	1000000	*	-0.338546024188125
2	31000001	32000000	1000000	*	NA
2	32000001	33000000	1000000	*	0.613638744833883
2	33000001	34000000	1000000	*	NA
2	34000001	35000000	1000000	*	0.172799638319102
2	35000001	36000000	1000000	*	0.483514715477406
2	36000001	37000000	1000000	*	-0.263871212059291
2	37000001	38000000	1000000	*	0.0778396087318869
2	38000001	39000000	1000000	*	-0.125768955375244
2	39000001	40000000	1000000	*	0.37323463075565
2	40000001	41000000	1000000	*	-0.0410830614569082
2	41000001	42000000	1000000	*	0.324984141926139
2	42000001	43000000	1000000	*	0.118371770341436
2	43000001	44000000	1000000	*	-0.248160863409215
2	44000001	45000000	1000000	*	0.359683773494552
2	45000001	46000000	1000000	*	-0.560502266424248
2	46000001	47000000	1000000	*	3.22986846788814
2	47000001	48000000	1000000	*	-0.151442623898282
2	48000001	49000000	1000000	*	0.109176140414779
2	49000001	50000000	1000000	*	-0.171630828603438
2	50000001	51000000	1000000	*	0.723680721022529
2	51000001	52000000	1000000	*	0.496280701593115
2	52000001	53000000	1000000	*	0.383707125737073
2	53000001	54000000	1000000	*	0.111583739451657
2	54000001	55000000	1000000	*	0.176584999988655
2	55000001	56000000	1000000	*	0.294974807978715
2	56000001	57000000	1000000	*	-0.0653578226434491
2	57000001	58000000	1000000	*	0.352637112034745
2	58000001	59000000	1000000	*	0.302493594193556
2	59000001	60000000	1000000	*	-0.173860514494427
2	60000001	61000000	1000000	*	-0.279610214810565
2	61000001	62000000	1000000	*	0.538401085061946
2	62000001	63000000	1000000	*	-0.0520176319287789
2	63000001	64000000	1000000	*	0.336628715189276
2	64000001	65000000	1000000	*	-0.14797853901597
2	65000001	66000000	1000000	*	0.148696126578439
2	66000001	67000000	1000000	*	-0.303338828386004
2	67000001	68000000	1000000	*	0.145760357028453
2	68000001	69000000	1000000	*	-0.0662174402557113
2	69000001	70000000	1000000	*	-0.0293116380406715
2	70000001	71000000	1000000	*	0.132790296374674
2	71000001	72000000	1000000	*	-0.591838269838162
2	72000001	73000000	1000000	*	-0.601665189486698
2	73000001	74000000	1000000	*	-0.330860510252116
2	74000001	75000000	1000000	*	-0.41921575997401
2	75000001	76000000	1000000	*	-0.434671649225254
2	76000001	77000000	1000000	*	0.205155841270206
2	77000001	78000000	1000000	*	0.565278033291789
2	78000001	79000000	1000000	*	0.522803487968414
2	79000001	80000000	1000000	*	-0.148911686800251
2	80000001	81000000	1000000	*	-0.0487838167093489
2	81000001	82000000	1000000	*	0.359416820237696
2	82000001	83000000	1000000	*	0.638528662612615
2	83000001	84000000	1000000	*	0.46897024103126
2	84000001	85000000	1000000	*	-0.217002860553353
2	85000001	86000000	1000000	*	-0.0941552022687133
2	86000001	87000000	1000000	*	-0.305991847393097
2	99000001	100000000	1000000	*	1.97111613992258
2	100000001	101000000	1000000	*	-0.415104505145327
2	101000001	102000000	1000000	*	-0.00533680863574441
2	102000001	103000000	1000000	*	-0.248104320360602
2	103000001	104000000	1000000	*	-0.234291440416578
2	104000001	105000000	1000000	*	0.587404924985319
2	105000001	106000000	1000000	*	-0.483381370157986
2	106000001	107000000	1000000	*	-0.531280497493313
2	107000001	108000000	1000000	*	-0.343837893853507
2	108000001	109000000	1000000	*	-0.140491538636704
2	109000001	110000000	1000000	*	-0.135387224099305
2	113000001	114000000	1000000	*	-0.237980517346402
2	115000001	116000000	1000000	*	0.112713206557427
2	116000001	117000000	1000000	*	0.451702235725017
2	117000001	118000000	1000000	*	0.278328455901816
2	118000001	119000000	1000000	*	-0.234695624714041
2	119000001	120000000	1000000	*	-0.811435405997523
2	120000001	121000000	1000000	*	-0.345391245127403
2	121000001	122000000	1000000	*	-0.982266454009178
2	122000001	123000000	1000000	*	-0.181197787641125
2	123000001	124000000	1000000	*	0.30537977761067
2	124000001	125000000	1000000	*	0.247619763630092
2	125000001	126000000	1000000	*	-0.130754136907998
2	126000001	127000000	1000000	*	0.0602558168593352
2	127000001	128000000	1000000	*	-0.433517917014108
2	128000001	129000000	1000000	*	0.293423823822001
2	129000001	130000000	1000000	*	-0.765668843034415
2	133000001	134000000	1000000	*	0.512229366429387
2	134000001	135000000	1000000	*	-0.67758932827279
2	135000001	136000000	1000000	*	-0.351377715981965
2	136000001	137000000	1000000	*	3.45533279580991
2	137000001	138000000	1000000	*	-0.327170900135889
