#Region,Chromosome,Start_position,End_position,Pass_or_flag,Read count,Median coverage,Minimum coverage,Median quality coverage,Minimum quality coverage,Maximum fraction of low mapping quality,Maximum fraction of low base quality
chr1_p36.33_001_rs6594029,chr1,565346,565466,PASS,307,261.0,167,260.0,164,0.0,0.04
chr1_p36.33_002_rs397834473,chr1,985390,985510,FLAG,2,2.0,0,2.0,0,.,.
chr1_p36.33_003_rs1061884,chr1,1660666,1660786,FLAG,44,39.0,28,37.0,25,0.107,0.075
chr1_p36.33_004_rs10797413,chr1,2036203,2036323,FLAG,54,42.0,16,41.0,16,0.0,0.049
chr1_p36.32_001_rs2840532,chr1,2327755,2327875,FLAG,36,31.0,11,31.0,11,0.0,0.125
chr1_p36.32_002_rs10909873,chr1,2998938,2999058,FLAG,25,23.0,13,23.0,13,0.0,0.136
chr1_p36.32_003_rs2483228,chr1,3331673,3331793,FLAG,39,33.0,6,33.0,6,0.0,0.045
chr1_p36.32_004_rs2282455,chr1,3692180,3692300,FLAG,22,17.0,9,17.0,9,0.0,0.167
chr1_p36.32_005_rs55651676,chr1,4004339,4004459,FLAG,52,42.0,30,41.5,29,0.0,0.042
chr1_p36.32_006_rs34429154,chr1,4363675,4363795,FLAG,36,34.0,10,33.0,9,0.0,0.111
chr1_p36.32_007_rs556211767,chr1,4668758,4668878,FLAG,33,31.0,11,30.0,11,0.0,0.31
chr1_p36.32_008_rs77498736,chr1,4999666,4999786,FLAG,55,47.0,25,46.5,24,0.042,0.038
chr1_p36.32_009_rs587619,chr1,5330043,5330163,FLAG,21,18.0,7,18.0,7,0.0,0.077
chr1_p36.31_001_rs770687,chr1,5664935,5665055,FLAG,27,22.0,14,22.0,14,0.0,0.063
chr1_p36.31_002_rs71568636,chr1,6051921,6052041,FLAG,8,8.0,7,8.0,5,0.0,0.286
chr1_p36.31_003_rs78789357,chr1,6170364,6170484,FLAG,48,42.0,27,41.0,27,0.0,0.071
chr1_p36.31_004_rs202069621,chr1,6700069,6700189,FLAG,49,41.0,17,40.0,14,0.0,0.364
chr1_p36.23_001_rs10864290,chr1,7326185,7326305,FLAG,33,29.0,18,29.0,18,0.0,0.034
