#chrm start stop band
chr1:565346-24178245	chr1_Parm
chr2:101319-11156257	chr2_Parm
chr3:71223-89106889	chr3_Parm
chr4:328432-49618591	chr4_Parm
chr5:163836-46117758	chr5_Parm
chr6:257126-58693124	chr6_Parm
chr7:62278-57417629	chr7_Parm
chr8:245087-42435553	chr8_Parm
chr9:403225-46142631	chr9_Parm
chr10:255633-39005860	chr10_Parm
chr11:293128-134900529	chr11_Parm
chr12:298440-33734843	chr12_Parm
chr16:332957-33934129	chr16_Parm
chr17:65572-22216618	chr17_Parm
chr18:84140-15062273	chr18_Parm
chr19:325206-24178245	chr19_Parm
chr20:129804-26204573	chr20_Parm
chr21:9419181-11156257	chr21_Parm
chrX:2760724-57475313	chrX_Parm
chrY:2655316-21730316	chrY_Parm
chr1:143243954-58878544	chr1_Qarm
chr2:95537562-51144228	chr2_Qarm
chr3:93707570-197779233	chr3_Qarm
chr4:52978681-190614219	chr4_Qarm
chr5:49559687-180535680	chr5_Qarm
chr6:62069392-170793434	chr6_Qarm
chr7:62030250-158820150	chr7_Qarm
chr8:47526939-145813517	chr8_Qarm
chr9:65616302-141011831	chr9_Qarm
chr10:42606820-135040343	chr10_Qarm
chr11:55170282-134900529	chr11_Qarm
chr12:38597481-133818413	chr12_Qarm
chr16:46834028-89835381	chr16_Qarm
chr17:25269079-81005719	chr17_Qarm
chr18:18909870-77313646	chr18_Qarm
chr19:28247490-58878544	chr19_Qarm
chr20:29439551-62696084	chr20_Qarm
chr21:14432976-47920257	chr21_Qarm
chrX:69302706-152901960	chrX_Qarm
chr1:52535911-55939767	chr1_region1
chr1:92281525-94614085	chr1_region2
chr1:94937950-106795890	chr1_region3
chr1:117947837-120242597	chr1_region4
chr1:143243954-154810090	chr1_region5
chr1:155258692-156230996	chr1_region6
chr4:328432-4308995	chr4_extraprobes
chr6:32497764-46017051	chr6_extraprobes
chr8:118040729-126983701	chr8_extraprobes
chr11:63596003-76919689	chr11_extraprobes
chr13:47455803-50715794	chr13_extraprobes
chr14:89936578-107083693	chr14_extraprobes
chr16:74444173-81438018	chr16_extraprobes
chr17:6654134-10525220	chr17_extraprobes
chr20:37873681-41443806	chr20_extraprobes
