#chrm start stop band
chr7:98000001-104500000	7q22.1-q22.2
chr7:114600001-117400000	7q31.2
chr5:136200001-139500000	5q31.2
chr5:6300001-9800000	5p15.31
chr8:86900001-93300000	8q21.3
chr17:6500001-10700000	17p13.1
chr20:37600001-41700000	20q12
chr20:42100001-46400000	20q13.12
chr9:37033945-37034065,chr9:37020595-37020835,chr9:37014972-37015212,chr9:37006441-37006561,chr9:37002588-37002828,chr9:36966513-36966753,chr9:36923296-36923536,chr9:36881931-36882171,chr9:36846823-36846943,chr9:36840534-36840654,chr9:21970984-21971224,chr9:21994113-21994353,chr9:22005935-22006295,chr9:22008754-22008994	PAX5_Ex1,PAX5_Ex2,PAX5_Ex3,PAX5_Ex4,PAX5_Ex5,PAX5_Ex6,PAX5_Ex7,PAX5_Ex8,PAX5_Ex9,PAX5_Ex10,CDKN2A_Ex_2,CDKN2A_Ex_1,CDKN2B_Ex_2,CDKN2B_Ex_1
#chr9:36840534-36840654,chr9:36846823-36846943,chr9:36881931-36882171,chr9:36923296-36923536,chr9:36966513-36966753,chr9:37002588-37002828,chr9:37006441-37006561,chr9:37014972-37015212,chr9:37020595-37020835,chr9:37033945-37034065	PAX5_Ex10,PAX5_Ex9,PAX5_Ex8,PAX5_Ex7,PAX5_Ex6,PAX5_Ex5,PAX5_Ex4,PAX5_Ex3,PAX5_Ex2,PAX5_Ex1
#chr9:21970984-21971224,chr9:21994113-21994353,chr9:22005935-22006295,chr9:22008754-22008994	CDKN2A_Ex_2,CDKN2A_Ex_1,CDKN2B_Ex_2,CDKN2B_Ex_1
chr7:50358617-50358737,chr7:50367173-50367413,chr7:50444180-50444540,chr7:50450201-50450441,chr7:50454985-50455225,chr7:50459374-50459614,chr7:50467550-50468390	IKZF1_EX2,IKZF1_EX3,IKZF1_EX4,IKZF1_EX5,IKZF1_EX6,IKZF1_EX7,IKZF1_EX8
chr11:118307203-118307683,chr11:118339464-118339584,chr11:118342323-118345083,chr11:118347488-118347728,chr11:118348619-118348979,chr11:118350860-118350980,chr11:118352378-118352858,chr11:118353113-118353233,chr11:118354843-118355083,chr11:118355513-118355753,chr11:118359282-118359522,chr11:118360494-118360614,chr11:118360783-118361023,chr11:118361852-118362092,chr11:118362430-118362670,chr11:118363738-118363978,chr11:118364938-118365178,chr11:118365385-118365505,chr11:118366391-118366631,chr11:118366909-118367149,chr11:118368599-118368839,chr11:118369044-118369284,chr11:118369956-118370196,chr11:118370529-118370649,chr11:118371661-118371901,chr11:118372359-118372599,chr11:118373076-118377396,chr11:118378223-118378343,chr11:118379822-118379942,chr11:118380628-118380868,chr11:118382643-118382763,chr11:118390300-118390540,chr11:118390605-118390845,chr11:118391498-118391618,chr11:118391947-118392187,chr11:118392569-118392929	KMT2A_EX1,KMT2A_EX2,KMT2A_EX3,KMT2A_EX4,KMT2A_EX5,KMT2A_EX6,KMT2A_EX7,KMT2A_EX8,KMT2A_EX9,KMT2A_EX10,KMT2A_EX11,KMT2A_EX12,KMT2A_EX13,KMT2A_EX14,KMT2A_EX15,KMT2A_EX16,KMT2A_EX17,KMT2A_EX18,KMT2A_EX19,KMT2A_EX20,KMT2A_EX21,KMT2A_EX22,KMT2A_EX23,KMT2A_EX24,KMT2A_EX25,KMT2A_EX26,KMT2A_EX27,KMT2A_EX28,KMT2A_EX29,KMT2A_EX30,KMT2A_EX31,KMT2A_EX32,KMT2A_EX33,KMT2A_EX34,KMT2A_EX35,KMT2A_EX36
