#chrm start stop band
chr1:565346-121290294	chr1_p_arm
chr1:143243954-248524322    chr1_q_arm
chr2:101319-92080421	chr2_p_arm
chr2:95537562-242572906 chr2_q_arm
chr3:71223-89106889	chr3_p_arm
chr3:93707570-197779233 chr3_q_arm
chr4:328432-49618591	chr4_p_arm
chr4:52978681-190614219 chr4_q_arm
chr5:163836-46117758	chr5_p_arm
chr5:49559687-180535680 chr5_q_arm
chr6:257126-58693124	chr6_p_arm
chr6:62069392-170793434 chr6_q_arm
chr7:62278-57417629	chr7_p_arm
chr7:62030250-158820150 chr7_q_arm
chr8:245087-42435553	chr8_p_arm
chr8:47526939-145813517 chr8_q_arm
chr9:403225-46142631	chr9_p_arm
chr9:65616302-141011831 chr9_q_arm
chr10:255633-39005860	chr10_p_arm
chr10:42606820-135040343    chr10_q_arm
chr11:293128-134900529	chr11_p_arm
chr11:55170282-134900529    chr11_q_arm
chr12:298440-33734843	chr12_p_arm
chr12:38597481-133818413    chr12_q_arm
chr13:19227106-114830192    chr13_q_arm
chr14:19069081-107083693    chr14_q_arm
chr15:20622931-102042700    chr15_q_arm
chr16:332957-33934129	chr16_p_arm
chr16:46834028-89835381 chr16_q_arm
chr17:65572-22216618	chr17_p_arm
chr17:25269079-81005719 chr17_q_arm
chr18:84140-15062273	chr18_p_arm
chr18:18909870-77313646 chr18_q_arm
chr19:325206-24178245	chr19_p_arm
chr19:28247490-58878544 chr19_q_arm
chr20:129804-26204573	chr20_p_arm
chr20:29439551-62696084 chr20_q_arm
chr21:9419181-11156257	chr21_p_arm
chr21:14432976-47920257 chr21_q_arm
chrX:2760724-57475313	chrX_p_arm
chrX:69302706-152901960 chrX_q_arm
chrY:2655316-21730316	chrY_p_arm
chr1:52535911-55939767	chr1_p32.3
chr1:92281525-94614085	chr1_p22.1
chr1:94937950-106795890	chr1_p21
chr1:117947837-120242597	chr1_p12
chr1:143243954-154810090	chr1_q21
chr1:155258692-156230996	chr1_q22
chr4:328432-4308995	chr4_p16.3
chr6:32497764-46017051	chr6_p21
chr8:118040729-126983701	chr8_q24.1
chr11:63596003-76919689	chr11_q13
chr13:47455803-50715794	chr13_q14.2
chr14:89936578-107083693	chr14_q32
chr16:74444173-81438018	chr16_q23
chr17:6654134-10525220	chr17_13.1
chr20:37873681-41443806	chr20_12
