#chrm start stop band
chr1:565346-248524322	chr1
chr2:101319-242572906	chr2
chr3:71223-197779233	chr3
chr4:328432-190614219	chr4
chr5:163836-180535680	chr5
chr6:257126-170793434	chr6
chr7:62278-158820150	chr7
chr8:245087-145813517	chr8
chr9:403225-141011831	chr9
chr10:255633-135040343	chr10
chr11:293128-134900529	chr11
chr12:298440-133818413	chr12
chr13:19227106-114830192	chr13
chr14:19069081-107083693	chr14
chr15:20622931-102042700	chr15
chr16:332957-89835381	chr16
chr17:65572-81005719	chr17
chr18:84140-77313646	chr18
chr19:325206-58878544	chr19
chr20:129804-62696084	chr20
chr21:9419181-47920257	chr21
chr22:16054680-51144228	chr22
chrX:2760724-152901960	chrX
chrY:2655316-21730316	chrY
