seqnames	start	end	width	strand	Median
2	16080001	16090000	10000	*	-0.432398827796302
2	25450001	25460000	10000	*	-0.0416013646486317
2	25460001	25470000	10000	*	1.03744619609251
2	25470001	25480000	10000	*	-0.793062980424792
2	25490001	25500000	10000	*	-1.20463069328032
2	25500001	25510000	10000	*	-1.74828701448837
2	25520001	25530000	10000	*	-3.26084892072284
2	25530001	25540000	10000	*	-2.39619113994072
2	25960001	25970000	10000	*	2.76691361905813
2	25970001	25980000	10000	*	0.883895330796921
2	46600001	46610000	10000	*	-0.648159049373335
2	198260001	198270000	10000	*	1.21496216791726
2	198270001	198280000	10000	*	-0.131746997220043
2	209110001	209120000	10000	*	0.231122447324666
3	41260001	41270000	10000	*	1.57111273616674
3	41270001	41280000	10000	*	1.92345863648198
3	41280001	41290000	10000	*	-0.598899734042498
3	42440001	42450000	10000	*	-1.21324783593609
3	47050001	47060000	10000	*	-0.78265373785656
3	47060001	47070000	10000	*	-1.03264202511504
3	47070001	47080000	10000	*	-0.840805161824948
3	47080001	47090000	10000	*	0.211370576320454
3	47090001	47100000	10000	*	0.227556001505509
3	47100001	47110000	10000	*	0.166763864302527
3	47120001	47130000	10000	*	0.932372373032563
3	47130001	47140000	10000	*	-0.599364454385071
3	47140001	47150000	10000	*	0.0463685935220777
3	47150001	47160000	10000	*	-0.571542670085172
3	47160001	47170000	10000	*	2.95571563387457
3	47200001	47210000	10000	*	-4.38601495861605
3	105430001	105440000	10000	*	-0.830180771837693
3	105450001	105460000	10000	*	0.69353939105412
3	128190001	128200000	10000	*	-2.32402094517821
3	128200001	128210000	10000	*	-0.374547113954911
4	24520001	24530000	10000	*	-1.04905669501825
4	24530001	24540000	10000	*	0.514697503392554
4	24540001	24550000	10000	*	0.492139885309
4	24550001	24560000	10000	*	0.455601469399006
4	24570001	24580000	10000	*	0.571186128141976
4	24580001	24590000	10000	*	-0.613693056214606
4	55560001	55570000	10000	*	-1.51233776093728
4	55580001	55590000	10000	*	-2.7734674853298
4	55590001	55600000	10000	*	0.781783759981303
4	55600001	55610000	10000	*	-2.10016338427064
4	106150001	106160000	10000	*	2.4985171126666
4	106160001	106170000	10000	*	0.745737631130155
4	106180001	106190000	10000	*	-0.170013613273783
4	106190001	106200000	10000	*	1.63086681310901
4	164050001	164060000	10000	*	0.0210880703757218
4	164060001	164070000	10000	*	-1.41990874639236
4	164080001	164090000	10000	*	-0.839306573066084
5	35870001	35880000	10000	*	0.945491160443815
5	131810001	131820000	10000	*	-1.8495316304864
5	131820001	131830000	10000	*	0.720413817185451
5	148870001	148880000	10000	*	-1.6431684294883
5	148880001	148890000	10000	*	0.00669610925647384
5	148890001	148900000	10000	*	-0.0190633701675637
5	148900001	148910000	10000	*	-1.40910156817824
5	148920001	148930000	10000	*	-0.922712249782365
5	148930001	148940000	10000	*	-0.532356477913325
5	149430001	149440000	10000	*	1.23212868824596
5	149440001	149450000	10000	*	0.517270542199626
5	149450001	149460000	10000	*	1.20368909553851
5	149460001	149470000	10000	*	0.530327372558827
5	176930001	176940000	10000	*	0.104509599738601
5	176940001	176950000	10000	*	1.01166403218878
6	41900001	41910000	10000	*	0.437019596513388
6	79650001	79660000	10000	*	1.67112486915253
6	79660001	79670000	10000	*	NA
6	79670001	79680000	10000	*	1.56546383200559
6	79690001	79700000	10000	*	0.985029342314143
6	79700001	79710000	10000	*	0.814522554774369
6	79710001	79720000	10000	*	0.460676602712568
6	79720001	79730000	10000	*	NA
6	79730001	79740000	10000	*	-0.0433380320011005
6	79750001	79760000	10000	*	NA
6	79770001	79780000	10000	*	-0.53183650734192
6	79780001	79790000	10000	*	-4.33651480835111
6	99990001	100000000	10000	*	-0.130897517512067
6	135500001	135510000	10000	*	-0.96826692941299
6	135510001	135520000	10000	*	1.00934712468771
6	135520001	135530000	10000	*	0.0895069776029862
6	135530001	135540000	10000	*	-1.81121711197898
7	50350001	50360000	10000	*	-0.804073838244113
7	50360001	50370000	10000	*	-1.0982533350558
7	50440001	50450000	10000	*	0.675547244441697
7	50450001	50460000	10000	*	1.40373530118407
7	50460001	50470000	10000	*	0.264897981798894
7	92730001	92740000	10000	*	2.80388010256735
7	92760001	92770000	10000	*	2.72104820219006
7	101450001	101460000	10000	*	-2.01708307558732
7	101460001	101470000	10000	*	-1.83763514597399
7	101550001	101560000	10000	*	-3.31155332503105
7	101670001	101680000	10000	*	-1.33582666406306
7	101710001	101720000	10000	*	-2.55251145568693
7	101740001	101750000	10000	*	-1.06573175361308
7	101750001	101760000	10000	*	-0.118353758537263
7	101800001	101810000	10000	*	-2.97283018763862
7	101810001	101820000	10000	*	-1.56053370263972
7	101820001	101830000	10000	*	-2.3346612464286
7	101830001	101840000	10000	*	-0.266809367203574
7	101840001	101850000	10000	*	0.592973522540302
7	101870001	101880000	10000	*	-0.559090346889031
7	101880001	101890000	10000	*	-2.09861210950666
7	101890001	101900000	10000	*	-2.17809926714373
7	134340001	134350000	10000	*	0.551655293831582
7	134360001	134370000	10000	*	-1.42032558211827
7	139050001	139060000	10000	*	-2.86887659614811
7	139060001	139070000	10000	*	-2.31510159794814
7	139080001	139090000	10000	*	-2.15233819492174
7	139090001	139100000	10000	*	-0.782766505334908
7	139100001	139110000	10000	*	-1.4814792053864
7	140450001	140460000	10000	*	-2.28805889143397
7	148500001	148510000	10000	*	0.688436714403024
7	148510001	148520000	10000	*	1.01051312855288
7	148520001	148530000	10000	*	0.868660681496304
7	148540001	148550000	10000	*	-0.657470150185224
7	152340001	152350000	10000	*	1.31783201455941
7	152350001	152360000	10000	*	-1.27661263992254
7	152370001	152380000	10000	*	-0.96430812792719
8	3200001	3210000	10000	*	-0.867395212449712
8	3210001	3220000	10000	*	-1.29469336511432
8	3850001	3860000	10000	*	-1.42572102678503
8	3880001	3890000	10000	*	-1.08029926099254
8	77610001	77620000	10000	*	2.07362352775393
8	77620001	77630000	10000	*	-0.730541545847985
8	77690001	77700000	10000	*	-0.409335179708365
8	77740001	77750000	10000	*	-1.3483773219581
8	77750001	77760000	10000	*	-0.909469121839117
8	77760001	77770000	10000	*	3.8764808826864
8	77770001	77780000	10000	*	1.39714164258073
8	117850001	117860000	10000	*	-1.14904438042302
8	117860001	117870000	10000	*	1.61544816713113
8	117870001	117880000	10000	*	0.465644974878969
9	5060001	5070000	10000	*	-1.16089191291038
9	5070001	5080000	10000	*	0.726641182567287
9	15290001	15300000	10000	*	-0.223061632537851
9	21970001	21980000	10000	*	-0.277793410770432
9	21990001	22000000	10000	*	-1.56289424818684
9	22000001	22010000	10000	*	-0.415000387871611
9	86580001	86590000	10000	*	1.76578213041407
9	86590001	86600000	10000	*	1.70836106519378
9	136540001	136550000	10000	*	-1.39573165902468
9	139390001	139400000	10000	*	1.10120073192086
10	112330001	112340000	10000	*	-0.493741077370297
10	112340001	112350000	10000	*	0.398731705242082
10	112350001	112360000	10000	*	0.0125159739396333
10	112360001	112370000	10000	*	0.324874500829549
11	530001	540000	10000	*	NA
11	32410001	32420000	10000	*	1.00665835279238
11	32420001	32430000	10000	*	-0.0253059424293771
11	32430001	32440000	10000	*	0.145677274135859
11	32440001	32450000	10000	*	-0.708739882871957
11	32450001	32460000	10000	*	-0.797830735282081
11	64530001	64540000	10000	*	1.2486684993523
11	64540001	64550000	10000	*	0.548443265401832
11	85950001	85960000	10000	*	-1.84641388885446
11	85960001	85970000	10000	*	1.14034761480601
11	85970001	85980000	10000	*	-0.511769746868316
11	85980001	85990000	10000	*	0.359359557777627
11	118300001	118310000	10000	*	-4.27913333730098
11	118330001	118340000	10000	*	-2.43411607526903
11	118340001	118350000	10000	*	1.90356257612603
11	118350001	118360000	10000	*	0.767070393995235
11	118360001	118370000	10000	*	1.37522588208607
11	118370001	118380000	10000	*	3.10759627446945
11	118380001	118390000	10000	*	-0.820302957727287
11	118390001	118400000	10000	*	0.646687976787647
11	119070001	119080000	10000	*	-2.60292326668227
11	119100001	119110000	10000	*	-0.931939335551067
11	119140001	119150000	10000	*	1.7579361720409
12	11800001	11810000	10000	*	-1.75001742938262
12	11900001	11910000	10000	*	-0.787102862823623
12	11990001	12000000	10000	*	-0.191169152614396
12	12000001	12010000	10000	*	-0.0129036505531142
12	12020001	12030000	10000	*	0.810633801026779
12	12030001	12040000	10000	*	-0.23036585821719
12	12040001	12050000	10000	*	-1.04668505947381
12	12870001	12880000	10000	*	0.396181745189053
12	22770001	22780000	10000	*	-0.971588775039864
12	22790001	22800000	10000	*	-0.42752936202739
12	22810001	22820000	10000	*	-0.16534010316653
12	22820001	22830000	10000	*	-0.0781682019497056
12	22830001	22840000	10000	*	-1.0944672320737
12	25370001	25380000	10000	*	-1.71394038417575
12	25380001	25390000	10000	*	-1.69434017026861
12	25390001	25400000	10000	*	-3.44441722749406
12	50010001	50020000	10000	*	-6.6411527273898
12	50020001	50030000	10000	*	0.0282635925501565
12	50030001	50040000	10000	*	0.360891940413543
12	54680001	54690000	10000	*	0.570501834992057
12	92530001	92540000	10000	*	0.226811835581232
12	111850001	111860000	10000	*	-1.96274362533405
12	111880001	111890000	10000	*	0.165648224482472
12	112850001	112860000	10000	*	-6.56876336051678
12	112880001	112890000	10000	*	-0.0762723731023772
12	112890001	112900000	10000	*	-0.556176824666368
12	112910001	112920000	10000	*	0.557786517343483
12	112920001	112930000	10000	*	0.480459149737745
12	112930001	112940000	10000	*	-1.10494981692998
12	112940001	112950000	10000	*	-1.35688451789427
12	122240001	122250000	10000	*	0.97092555058389
12	122250001	122260000	10000	*	0.870394802448053
12	122260001	122270000	10000	*	1.40702358214743
13	28590001	28600000	10000	*	-1.0951148144904
13	28600001	28610000	10000	*	0.083331785629626
13	108860001	108870000	10000	*	1.35681723344642
14	99640001	99650000	10000	*	-0.505969676256656
14	99690001	99700000	10000	*	-3.95197836230138
14	99720001	99730000	10000	*	-1.41517080393857
14	99730001	99740000	10000	*	-3.73837786423072
14	105230001	105240000	10000	*	-0.110010695981975
14	105240001	105250000	10000	*	0.40656526676957
14	105250001	105260000	10000	*	NA
15	40990001	41000000	10000	*	1.1749007062009
15	41000001	41010000	10000	*	-0.705120822895223
15	41010001	41020000	10000	*	-1.15064701262757
15	41020001	41030000	10000	*	1.14489106360113
15	66720001	66730000	10000	*	-0.418979258899202
15	90630001	90640000	10000	*	-0.915437147486661
16	14670001	14680000	10000	*	0.936944384247433
16	14680001	14690000	10000	*	-1.380876331691
16	67640001	67650000	10000	*	1.24740833679592
16	67650001	67660000	10000	*	1.29926490092263
16	67660001	67670000	10000	*	0.687466182042756
16	67670001	67680000	10000	*	-1.40639477268825
17	1550001	1560000	10000	*	1.16963269983715
17	1560001	1570000	10000	*	1.55061003914201
17	1570001	1580000	10000	*	1.90622532132932
17	1580001	1590000	10000	*	2.44684388377855
17	7570001	7580000	10000	*	1.77316811747787
17	7740001	7750000	10000	*	0.727636000383636
17	7750001	7760000	10000	*	1.56170218555953
17	29420001	29430000	10000	*	-4.28113800175602
17	29480001	29490000	10000	*	-0.120175730983966
17	29490001	29500000	10000	*	0.121114979600603
17	29520001	29530000	10000	*	0.414850332481429
17	29530001	29540000	10000	*	-0.23699369595538
17	29540001	29550000	10000	*	0.604775604443168
17	29550001	29560000	10000	*	2.34583367887636
17	29560001	29570000	10000	*	0.35704914181163
17	29570001	29580000	10000	*	0.317425189619951
17	29580001	29590000	10000	*	1.06014843610447
17	29590001	29600000	10000	*	-2.06950834399756
17	29650001	29660000	10000	*	1.70825251811999
17	29660001	29670000	10000	*	2.68405949705622
17	29680001	29690000	10000	*	2.02147585820988
17	29700001	29710000	10000	*	-0.316496559876232
17	30310001	30320000	10000	*	0.387243323528361
17	30320001	30330000	10000	*	1.7292294948249
17	40350001	40360000	10000	*	-0.256958422171064
17	40470001	40480000	10000	*	1.48432643499386
17	42280001	42290000	10000	*	0.220335625135516
17	56770001	56780000	10000	*	1.70403016737783
17	56780001	56790000	10000	*	0.597528679116668
17	56790001	56800000	10000	*	-0.618454494985105
17	56800001	56810000	10000	*	-0.384197739126615
17	56810001	56820000	10000	*	-0.195626013236753
17	58670001	58680000	10000	*	-0.175084255306785
17	58700001	58710000	10000	*	-2.35479487364777
17	58710001	58720000	10000	*	-2.62699116322188
17	58720001	58730000	10000	*	-1.08830786090045
17	58730001	58740000	10000	*	-0.345721974856727
17	58740001	58750000	10000	*	1.11797652178728
17	74730001	74740000	10000	*	0.207467365834322
18	42280001	42290000	10000	*	1.21662895537701
18	42520001	42530000	10000	*	-0.116734532567171
18	42530001	42540000	10000	*	3.55696050227686
18	42610001	42620000	10000	*	0.770841780981
18	42640001	42650000	10000	*	0.618541825905949
19	850001	860000	10000	*	0.730281927356546
19	4040001	4050000	10000	*	-1.21196789247044
19	4050001	4060000	10000	*	-0.217713044580672
19	10240001	10250000	10000	*	1.04086732943045
19	10250001	10260000	10000	*	1.82884361664739
19	10260001	10270000	10000	*	1.87137670395598
19	10270001	10280000	10000	*	1.4584434531581
19	10280001	10290000	10000	*	1.74420852766593
19	10290001	10300000	10000	*	0.735578280726166
19	10300001	10310000	10000	*	-2.87236696051736
19	11480001	11490000	10000	*	0.593620663406435
19	11490001	11500000	10000	*	0.311679205953046
19	13050001	13060000	10000	*	-2.17710356756112
19	23550001	23560000	10000	*	0.303369871152843
19	23570001	23580000	10000	*	-0.269119417976807
19	33790001	33800000	10000	*	-0.642033061072161
19	56160001	56170000	10000	*	-3.79157760380185
19	56170001	56180000	10000	*	1.3604647772711
19	56180001	56190000	10000	*	0.651612306073396
20	31010001	31020000	10000	*	-0.609360631169004
20	31020001	31030000	10000	*	2.19760514041258
20	57480001	57490000	10000	*	0.874146528557938
21	36160001	36170000	10000	*	-0.336292972775101
21	36170001	36180000	10000	*	-1.28246890890695
21	36200001	36210000	10000	*	-0.363786032787068
21	36230001	36240000	10000	*	-1.00038666355393
21	36250001	36260000	10000	*	-0.457989946031365
21	36260001	36270000	10000	*	-2.83285845123029
21	36420001	36430000	10000	*	-1.60654506987195
21	44510001	44520000	10000	*	0.78679617527018
21	44520001	44530000	10000	*	-1.66828542367037
22	28140001	28150000	10000	*	-2.44292294793763
22	28190001	28200000	10000	*	0.514051806253794
22	29090001	29100000	10000	*	2.05341890311474
22	29100001	29110000	10000	*	0.612959146482028
22	29110001	29120000	10000	*	-1.03961697888224
22	29120001	29130000	10000	*	0.802886049857957
22	29130001	29140000	10000	*	0.0817445505819863
22	30730001	30740000	10000	*	1.66902211983614
22	30740001	30750000	10000	*	0.891746471321616
22	30750001	30760000	10000	*	-3.99708603583762
X	15330001	15340000	10000	*	-0.989004402519761
X	15340001	15350000	10000	*	0.984864867143621
X	15350001	15360000	10000	*	-2.32156448138445
X	15800001	15810000	10000	*	0.293414207629794
X	15810001	15820000	10000	*	-1.7757812684574
X	15820001	15830000	10000	*	1.05810338185955
X	15830001	15840000	10000	*	0.754315855103993
X	15840001	15850000	10000	*	-0.750788194270978
X	39910001	39920000	10000	*	1.6635772179904
X	39920001	39930000	10000	*	0.453631912913625
X	39930001	39940000	10000	*	2.00043470116813
X	41190001	41200000	10000	*	0.0909356573165417
X	41200001	41210000	10000	*	2.34531682023743
X	44730001	44740000	10000	*	-0.116715241390263
X	44820001	44830000	10000	*	-1.5802826071769
X	44830001	44840000	10000	*	-1.80576830700613
X	44870001	44880000	10000	*	-0.0388234789831446
